Source,Target,Weight
9,25,0.27889201967063176
9,27,0.25950969275482116
9,28,0.2764775614816192
9,29,0.3109969520321312
9,30,0.3212698821280897
9,32,0.2925025669672671
9,33,0.2656304220163604
9,34,0.2746248563250952
9,38,0.310632547988767
9,39,0.31430121549783374
9,40,0.30725915699150436
9,41,0.35159395084823153
9,42,0.2949530629003047
9,43,0.3713391248544868
9,44,0.2861007747244762
9,46,0.32981670752651593
9,49,0.3419590693985683
9,50,0.3834228825892643
10,11,0.4049421360207692
10,12,0.3826358572790656
10,13,0.3581954853571532
10,14,0.2931802349248587
10,15,0.34389788588403664
10,49,0.28593715376866113
10,50,0.2898309324648188
10,51,0.34490538640653734
10,52,0.2781035485011874
10,53,0.3420440299839678
11,12,0.3111060122793199
11,13,0.2980695240006287
11,14,0.29861335851727716
11,15,0.3094549183022662
11,49,0.2569813872690189
11,50,0.26986624822383964
11,51,0.30298810461395775
11,52,0.26081937118191345
11,53,0.3041811147156951
12,13,0.33583810880946363
12,14,0.368271767341154
12,15,0.39010456785626585
12,49,0.2859546286547437
12,51,0.44218595455027343
12,52,0.33450633770753124
12,53,0.3907080353133048
13,14,0.3206948254482178
13,15,0.3737269995821625
13,49,0.28077383211748186
13,50,0.2813029632915546
13,51,0.34195751362817783
13,52,0.3592063937388876
13,53,0.35003029026400223
14,15,0.32391688139885944
14,51,0.3777807437929643
14,52,0.29735608620547926
14,53,0.3839131812655796
15,49,0.26267165473493365
15,50,0.2598118038437076
15,51,0.37433011179709014
15,52,0.33657787865886507
15,53,0.35011173278997415
16,23,0.28188940997508666
16,28,0.25502494510096113
16,29,0.29126427928215454
16,30,0.2572211116102994
18,19,0.25778540134568995
18,20,0.2555226193349961
18,21,0.25834499637485037
18,23,0.3555787279264115
18,24,0.308848360854088
18,25,0.35054027563464746
18,26,0.2687301641736222
18,27,0.2823691101339692
18,28,0.3233744002838754
18,29,0.3873145320618911
18,30,0.33478857825686753
18,31,0.2548036457391475
18,32,0.2737772188349187
18,33,0.34225779491754
18,34,0.2778744989844638
18,38,0.3137659837966926
18,39,0.3089094366373123
18,40,0.2885330210314089
18,41,0.30720010327979763
18,43,0.3099268561400348
18,44,0.26002007580524816
18,50,0.2870415637015088
19,20,0.28045124830442836
19,23,0.2743771962831245
19,25,0.28957839124603707
19,28,0.28104294794906554
19,29,0.321898802526151
19,30,0.31130455355203374
19,32,0.27377115633628696
19,33,0.27512122768003455
19,34,0.2606439695221298
19,38,0.25057831871909103
19,39,0.25348860328127215
19,50,0.2562037709875029
20,23,0.31705930380447417
20,24,0.302161291438705
20,25,0.29118117529882326
20,26,0.2528187190931968
20,28,0.28743246344143303
20,29,0.32713948384805946
20,30,0.3523704047579579
20,32,0.2575456028229551
20,33,0.2887831411286663
20,38,0.2551536762887677
20,40,0.259175339882649
20,41,0.2725111470253856
21,23,0.2824670831852414
21,25,0.28558555861782714
21,28,0.25996324540790966
21,29,0.2536274516435307
23,24,0.501988350037079
23,25,0.3802542649454665
23,26,0.30331694650308044
23,27,0.33859343462259356
23,28,0.37503569763365296
23,29,0.419978935684814
23,30,0.4535743862285237
23,31,0.28808805313164737
23,32,0.3218521988233805
23,33,0.42489829185307043
23,34,0.3166540737171118
23,38,0.35285875720331406
23,39,0.3396114800728115
23,40,0.3061929379985844
23,41,0.34033137437804234
23,42,0.26364175723434774
23,43,0.36616829101974746
23,44,0.2995487690466264
23,46,0.289769459867611
23,50,0.33661063752103504
24,25,0.3477610761817483
24,26,0.25837782006937343
24,27,0.2799374107366893
24,28,0.3372964815845726
24,29,0.3971327425200383
24,30,0.3981275775564385
24,31,0.2548268378882508
24,32,0.298045766633551
24,33,0.36939977445866323
24,34,0.29891548103907284
24,37,0.25113387554728134
24,38,0.32631109462298696
24,39,0.3165267373384689
24,41,0.31273687888870366
24,43,0.36728076982451824
24,44,0.30426754561358077
24,46,0.29448571430275877
24,50,0.3193152186406218
25,26,0.2794398046345767
25,27,0.3333824308583557
25,28,0.3520625450535528
25,29,0.39497727692663676
25,30,0.4494872897544606
25,31,0.2907414823715038
25,32,0.34981401917287214
25,33,0.3349003538817776
25,34,0.31092978879231803
25,38,0.3567283291707899
25,39,0.3344267326197586
25,40,0.29799395801124534
25,41,0.2886114088101986
25,43,0.31509776253994426
25,44,0.2724774889546128
25,50,0.3023511089437299
26,28,0.2517212094577419
26,29,0.2987019299895033
